budget,threshold,accuracy,predictions_intervened_on,predictions_changed,total_concept_confirmations,total_concept_edits_made,regime,data_name,n,missing_fraction,missing_mechanism
0,0.2,0.7812,0,0,0,0,baseline,subconcept,10000,0.0,mcar
1,0.2,0.9212,3191,1558,3191,1558,baseline,subconcept,10000,0.0,mcar
2,0.2,0.9439,3215,2223,6430,2891,baseline,subconcept,10000,0.0,mcar
3,0.2,0.9439,3216,2223,9648,2892,baseline,subconcept,10000,0.0,mcar
4,0.2,0.9439,3216,2223,12864,2913,baseline,subconcept,10000,0.0,mcar
5,0.2,0.9439,3216,2223,16080,2936,baseline,subconcept,10000,0.0,mcar
0,0.4,0.7812,0,0,0,0,baseline,subconcept,10000,0.0,mcar
1,0.4,0.918,3041,1524,3041,1524,baseline,subconcept,10000,0.0,mcar
2,0.4,0.9415,3066,2197,6132,2852,baseline,subconcept,10000,0.0,mcar
3,0.4,0.9417,3068,2199,9204,2855,baseline,subconcept,10000,0.0,mcar
4,0.4,0.9417,3068,2199,12272,2876,baseline,subconcept,10000,0.0,mcar
5,0.4,0.9417,3068,2199,15340,2898,baseline,subconcept,10000,0.0,mcar
0,0.2,0.7812,0,0,0,0,expert,subconcept,10000,0.0,mcar
1,0.2,0.8782,3191,1546,3191,1546,expert,subconcept,10000,0.0,mcar
2,0.2,0.896,3215,2222,6430,3004,expert,subconcept,10000,0.0,mcar
3,0.2,0.8899,3216,2331,9648,3645,expert,subconcept,10000,0.0,mcar
4,0.2,0.8891,3216,2423,12864,4260,expert,subconcept,10000,0.0,mcar
5,0.2,0.8901,3216,2437,16080,4945,expert,subconcept,10000,0.0,mcar
0,0.4,0.7812,0,0,0,0,expert,subconcept,10000,0.0,mcar
1,0.4,0.8771,3041,1497,3041,1497,expert,subconcept,10000,0.0,mcar
2,0.4,0.8968,3066,2156,6132,2919,expert,subconcept,10000,0.0,mcar
3,0.4,0.8912,3068,2256,9204,3539,expert,subconcept,10000,0.0,mcar
4,0.4,0.8906,3068,2356,12272,4123,expert,subconcept,10000,0.0,mcar
5,0.4,0.8917,3068,2363,15340,4781,expert,subconcept,10000,0.0,mcar
0,0.2,0.8762,0,0,0,0,subjective,subconcept,10000,0.0,mcar
1,0.2,0.8834,1249,472,1249,472,subjective,subconcept,10000,0.0,mcar
2,0.2,0.8841,1306,517,2612,805,subjective,subconcept,10000,0.0,mcar
3,0.2,0.881,1306,558,3918,1036,subjective,subconcept,10000,0.0,mcar
4,0.2,0.8792,1306,560,5224,1327,subjective,subconcept,10000,0.0,mcar
5,0.2,0.8813,1306,573,6530,1631,subjective,subconcept,10000,0.0,mcar
0,0.4,0.8762,0,0,0,0,subjective,subconcept,10000,0.0,mcar
1,0.4,0.8896,765,348,765,348,subjective,subconcept,10000,0.0,mcar
2,0.4,0.8895,800,411,1600,576,subjective,subconcept,10000,0.0,mcar
3,0.4,0.887,806,450,2418,714,subjective,subconcept,10000,0.0,mcar
4,0.4,0.8863,806,445,3224,897,subjective,subconcept,10000,0.0,mcar
5,0.4,0.8877,806,469,4030,1070,subjective,subconcept,10000,0.0,mcar
0,0.2,0.8739,0,0,0,0,machine,subconcept,10000,0.0,mcar
1,0.2,0.5188,9904,4931,9904,4931,machine,subconcept,10000,0.0,mcar
2,0.2,0.5354,9998,7165,19996,9608,machine,subconcept,10000,0.0,mcar
3,0.2,0.5354,10000,8193,30000,14437,machine,subconcept,10000,0.0,mcar
4,0.2,0.5333,10000,8570,40000,19126,machine,subconcept,10000,0.0,mcar
5,0.2,0.535,10000,8731,50000,24093,machine,subconcept,10000,0.0,mcar
0,0.4,0.8739,0,0,0,0,machine,subconcept,10000,0.0,mcar
1,0.4,0.5195,8319,4080,8319,4080,machine,subconcept,10000,0.0,mcar
2,0.4,0.5359,9747,7052,19494,9321,machine,subconcept,10000,0.0,mcar
3,0.4,0.5371,9902,8148,29706,14284,machine,subconcept,10000,0.0,mcar
4,0.4,0.5335,9993,8568,39972,19115,machine,subconcept,10000,0.0,mcar
5,0.4,0.535,10000,8731,50000,24093,machine,subconcept,10000,0.0,mcar
